Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1/21/2018,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1.807,0.791,0,0,0,0,0,0,0,0.001,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1.154,1.577,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,3.178,3.29,3.269,3.255,3.286,3.303,2.464,0.908,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0
1/22/2018,2.412,3.219,2.62,0.78,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0,0,0,0,0.001,0,0,0,0,3.181,3.296,0,0,3.243,2.73,0.817,0,0,3.13,3.275,6.162,2.66,0.453,0.921,6.203,11.723,16.054,17.835,20.653,19.417,20.811,18.313,13.188,8.518,7.202,2.747,1.152,0,0,0,0,0.001,0.001,0.007,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.012,0.009,0.009,0.009,0.009,3.834,6.906,5.759
1/23/2018,5.778,5.764,5.068,3.143,5.614,5.696,5.698,5.698,4.544,5.959,5.766,5.774,8.006,8.552,4.095,3.274,3.015,1.441,0,0,0,0,0.001,0.003,1.085,0.009,2.594,3.33,3.296,0,0,2.985,3.337,3.325,3.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.178,0,0,6.195,9.604,9.682,11.704,10.212,12.814,16.45,18.872,19.606,19.591,15.835,16.656,16.272,14.45,10.63,6.442,4.737,3.311,3.304,3.309,3.311,0,0.001,0,0,0,0,0,0,2.312,2.489,2.487,2.496,2.463,2.456,2.465,2.469,5.249,5.665,5.609,4.277,3.235,2.793,1.482
1/24/2018,0.001,3.077,3.304,3.306,3.306,3.303,2.541,1.009,0.001,0,0,3.238,3.347,3.35,3.344,2.222,0.442,0,0,0,0,0.001,0,0.196,4.675,0.001,0,0,3.156,2.155,0,0,0.001,0,0,0,0,0,0,0,0,3.03,3.291,3.287,3.286,3.285,3.282,3.219,0,0,0,0,0,0,2.999,6.397,12.679,6.853,9.204,11.745,13.337,13.087,16.175,16.155,14.412,8.122,6.65,5.907,4.561,3.342,3.354,3.343,3.334,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,3.189,3.32,6.329,9.543
1/25/2018,6.61,6.61,8.943,7.658,8.961,9.049,9.029,8.699,7.351,5.748,5.726,5.087,3.499,3.26,3.258,3.26,2.518,0.544,0,0,0.001,0,0,0,0,3.226,3.332,3.288,0,0,0,0,0,0,0,3.115,3.347,3.324,3.318,3.309,3.308,2.931,1.401,0,0,0,0,0,0,0,3.188,3.27,3.266,3.264,6.356,6.451,12.728,12.884,12.881,18.147,17.255,14.863,14.063,12.343,7.206,5.352,3.774,2.128,0.932,0,0,0.001,0,0,0.001,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0.13,0,3.213,3.324
1/26/2018,3.326,8.981,7.866,9.121,9.576,8.276,9.082,8.566,5.89,4.013,3.133,2.196,0.842,0,0,0,0.001,0.001,3.288,3.285,3.275,3.273,4.012,6.081,4.888,3.569,0,2.965,3.255,3.159,0,0,0,0,0,0,0,0.003,3.165,3.28,3.279,5.803,6.443,3.225,3.231,3.233,6.474,6.531,5.985,0,0,0.834,6.495,6.587,6.324,4.968,6.612,6.575,6.581,8.375,7.053,6.52,5.92,4.818,3.35,3.278,3.278,3.286,2.524,1.032,3.166,3.282,2.663,1.278,0,0,0,0,0.001,0,0,0,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,2.915,8.953,9.069,9.002,9.018,9.024
1/27/2018,8.983,8.999,12.201,19.137,11.612,8.295,7.454,5.878,2.491,0.215,0,0,0.002,0.008,0.008,0.008,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,3.092,3.282,3.259,0.008,0.008,0.01,3.247,3.339,4.254,5.176,3.363,3.31,3.344,3.344,3.336,3.303,3.204,1.76,0.01,0,0,0,0,0,0,0,0,0,0,0,0,3.061,3.373,3.359,3.363,3.349,3.354,3.338,3.34,3.328,3.313,3.1,1.756,0.181,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.006,0.009,0,0,0,0,0,0
1/28/2018,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.466,2.219,0.369,0,0,0.009,0.005,0,0,0,0.004,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1.526,1.075,0,0,0,0,0,0,0,0,0.013,0.017,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.01,0.009,0.008,2.221,0.179,0,0,0,0,0,0,0,0.005,0.008,0.008,0.008,1.598,1.49,0.008,0.008,0.008,0.008
1/29/2018,0.008,0.009,0.008,0.008,0.008,0.008,0.008,1.711,0.619,0,0,0,0,0,0,0,0.002,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839,4.636,9.361,13.001,16.271,16.215,22.767,22.956,19.695,19.732,17.468,13.975,10.07,7.194,5.021,3.415,3.284,3.293,2.117,0.2,0,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,2.372,2.484,2.498,2.498,2.475,2.48,2.485
1/30/2018,5.468,5.728,5.724,14.766,14.775,14.765,14.501,11.854,8.551,5.993,4.249,3.293,3.295,3.255,1.949,0.259,0.001,0,0,0,0,0,0,0,0,0,0,3.214,3.295,3.295,3.255,2.057,0.495,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253,6.077,12.803,15.637,14.401,11.725,6.224,4.871,1.964,3.281,2.999,1.14,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,3.19,3.288,3.288
1/31/2018,3.289,6.389,6.567,11.801,12.211,12.154,14.943,14.856,14.374,10.743,4.652,0.309,0,0,0,0,0,0.001,0,0.003,0,0,0,0,0,0,3.241,3.323,3.281,0,0,0.002,0,0,0,0,0,0,0,2.483,3.281,3.28,5.296,5.806,5.646,2.531,2.538,5.561,5.787,5.788,5.781,5.572,3.262,2.473,3.848,6.381,6.429,6.496,6.601,9.29,9.83,13.048,18.601,16.376,12.417,10.771,9.811,9.504,6.536,6.486,3.291,2.83,1.4,3.222,3.325,3.319,3.32,3.32,3.329,3.341,3.344,3.34,3.345,3.352,3.335,3.337,3.35,3.365,2.162,0.331,0,0,0,3.092,3.275,3.276
