timestamp,Time ,Garbage,value
2018-01-02 7:45,2018-01-02 07:45:00 PST,179.3kW,179.3
2018-01-02 8:00,2018-01-02 08:00:00 PST,187.6kW,187.6
2018-01-02 8:15,2018-01-02 08:15:00 PST,179.8kW,179.8
2018-01-02 8:30,2018-01-02 08:30:00 PST,181.7kW,181.7
2018-01-02 8:45,2018-01-02 08:45:00 PST,177.5kW,177.5
2018-01-02 9:00,2018-01-02 09:00:00 PST,183.5kW,183.5
2018-01-02 9:15,2018-01-02 09:15:00 PST,164.9kW,164.9
2018-01-02 9:30,2018-01-02 09:30:00 PST,166.4kW,166.4
2018-01-02 9:45,2018-01-02 09:45:00 PST,180.8kW,180.8
2018-01-02 10:00,2018-01-02 10:00:00 PST,171.4kW,171.4
2018-01-02 10:15,2018-01-02 10:15:00 PST,168.4kW,168.4
2018-01-02 10:30,2018-01-02 10:30:00 PST,159.3kW,159.3
2018-01-02 10:45,2018-01-02 10:45:00 PST,158.9kW,158.9
2018-01-02 11:00,2018-01-02 11:00:00 PST,172.7kW,172.7
2018-01-02 11:15,2018-01-02 11:15:00 PST,125.6kW,125.6
2018-01-02 11:30,2018-01-02 11:30:00 PST,182.8kW,182.8
2018-01-02 11:45,2018-01-02 11:45:00 PST,159.4kW,159.4
2018-01-02 12:00,2018-01-02 12:00:00 PST,158.8kW,158.8
2018-01-02 12:15,2018-01-02 12:15:00 PST,160.9kW,160.9
2018-01-02 12:30,2018-01-02 12:30:00 PST,187.2kW,187.2
2018-01-02 12:45,2018-01-02 12:45:00 PST,194.8kW,194.8
2018-01-02 13:00,2018-01-02 13:00:00 PST,175.8kW,175.8
2018-01-02 13:15,2018-01-02 13:15:00 PST,179.6kW,179.6
2018-01-02 13:30,2018-01-02 13:30:00 PST,174.7kW,174.7
2018-01-02 13:45,2018-01-02 13:45:00 PST,178.6kW,178.6
2018-01-02 14:00,2018-01-02 14:00:00 PST,170.5kW,170.5
2018-01-02 14:15,2018-01-02 14:15:00 PST,172.0kW,172
2018-01-02 14:30,2018-01-02 14:30:00 PST,167.0kW,167
2018-01-02 14:45,2018-01-02 14:45:00 PST,164.7kW,164.7
2018-01-02 15:00,2018-01-02 15:00:00 PST,166.8kW,166.8
2018-01-02 15:15,2018-01-02 15:15:00 PST,144.0kW,144
2018-01-02 15:30,2018-01-02 15:30:00 PST,121.1kW,121.1
2018-01-02 15:45,2018-01-02 15:45:00 PST,132.7kW,132.7
2018-01-02 16:00,2018-01-02 16:00:00 PST,144.4kW,144.4
2018-01-02 16:15,2018-01-02 16:15:00 PST,141.8kW,141.8
2018-01-02 16:30,2018-01-02 16:30:00 PST,147.3kW,147.3
2018-01-02 16:45,2018-01-02 16:45:00 PST,147.8kW,147.8
2018-01-02 17:00,2018-01-02 17:00:00 PST,150.3kW,150.3
2018-01-02 17:15,2018-01-02 17:15:00 PST,130.7kW,130.7
2018-01-02 17:30,2018-01-02 17:30:00 PST,130.2kW,130.2
2018-01-02 17:45,2018-01-02 17:45:00 PST,117.3kW,117.3
2018-01-02 18:00,2018-01-02 18:00:00 PST,117.3kW,117.3
2018-01-02 18:15,2018-01-02 18:15:00 PST,131.5kW,131.5
2018-01-02 18:30,2018-01-02 18:30:00 PST,120.0kW,120
